,de,o,a,ao,e,em,que,do,para,da,as,os,uma,se,com,um,es,por,no,na,oes,s,n,como,m,das,dos,al,l,ou,et,foi,c,ser,mais,modelo,corpus,foram,anotac,palavras,portugu,entre,resultados,ncia,encia,sint,cada,trabalho,modelos,t,atica,textos,g,ngua,anota,rela,ud,base,lingu,an
os,0.02097902097902098,0.02097902097902098,0.03496503496503497,0.0,0.0,0.02097902097902098,0.013986013986013986,0.0,0.0,0.013986013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496503496503497,0.0,0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013986013986013986,0.0,0.013986013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35664335664335667,0.0,0.0,0.0,0.0,0.0,0.1958041958041958,0.02097902097902098,0.0,0.0979020979020979,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.03496503496503497,0.0
uma,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.0,0.0,0.03389830508474576,0.3389830508474576,0.0,0.0,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.0,0.0847457627118644,0.0,0.1694915254237288
se,0.02666666666666667,0.28888888888888886,0.18222222222222223,0.017777777777777778,0.0,0.03111111111111111,0.15555555555555556,0.0,0.0,0.0,0.05333333333333334,0.044444444444444446,0.06666666666666667,0.0,0.013333333333333334,0.03111111111111111,0.017777777777777778,0.02666666666666667,0.008888888888888889,0.013333333333333334,0.0,0.0,0.008888888888888889,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
com,0.0,0.26296296296296295,0.2518518518518518,0.0,0.011111111111111112,0.0,0.007407407407407408,0.0,0.0,0.0,0.06296296296296296,0.06666666666666667,0.04814814814814815,0.0,0.0,0.05185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.022222222222222223,0.011111111111111112,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.011111111111111112,0.0,0.014814814814814815,0.0,0.0,0.0,0.011111111111111112,0.007407407407407408,0.11481481481481481,0.0,0.0
um,0.0196078431372549,0.0,0.049019607843137254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09803921568627451,0.0,0.08823529411764706,0.0,0.13725490196078433,0.0,0.049019607843137254,0.0,0.0,0.0,0.09803921568627451,0.0,0.0,0.1568627450980392,0.21568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
es,0.2535211267605634,0.03755868544600939,0.051643192488262914,0.0,0.09389671361502347,0.056338028169014086,0.023474178403755867,0.07511737089201878,0.06103286384976526,0.04225352112676056,0.014084507042253521,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.014084507042253521,0.018779342723004695,0.028169014084507043,0.0,0.04225352112676056,0.009389671361502348,0.014084507042253521,0.009389671361502348,0.0,0.018779342723004695,0.0,0.0,0.018779342723004695,0.0,0.009389671361502348,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.018779342723004695,0.0,0.0,0.0,0.046948356807511735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
por,0.0,0.08139534883720931,0.023255813953488372,0.0,0.0,0.19767441860465115,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.09302325581395349,0.0,0.0,0.2441860465116279,0.0,0.0,0.0,0.0,0.0,0.0,0.05813953488372093,0.0,0.10465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05813953488372093,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0.0,0.0,0.0,0.0,0.0,0.0,0.17272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.16363636363636364,0.0,0.0,0.1,0.24545454545454545,0.0,0.0,0.0,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.06363636363636363,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572
oes,0.341991341991342,0.017316017316017316,0.017316017316017316,0.0,0.08658008658008658,0.08225108225108226,0.03463203463203463,0.04329004329004329,0.03463203463203463,0.021645021645021644,0.008658008658008658,0.0,0.008658008658008658,0.0,0.06926406926406926,0.0,0.0,0.012987012987012988,0.025974025974025976,0.021645021645021644,0.0,0.008658008658008658,0.012987012987012988,0.008658008658008658,0.0,0.0,0.017316017316017316,0.008658008658008658,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.008658008658008658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05627705627705628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0
